invoiceid,customerid,invoicedate,billingaddress,billingcity,billingstate,billingcountry,billingpostalcode,total,last_update
1,2,2018-01-01 00:00:00+00,Theodor-Heuss-Straße 34,Stuttgart,,Germany,70174,1.98,2023-01-04 12:05:40.330691+00
2,4,2018-01-02 00:00:00+00,Ullevålsveien 14,Oslo,,Norway,0171,3.96,2023-01-04 12:05:40.332702+00
3,8,2018-01-03 00:00:00+00,Grétrystraat 63,Brussels,,Belgium,1000,5.94,2023-01-04 12:05:40.334024+00
4,14,2018-01-06 00:00:00+00,8210 111 ST NW,Edmonton,AB,Canada,T6G 2C7,8.91,2023-01-04 12:05:40.335723+00
5,23,2018-01-11 00:00:00+00,69 Salem Street,Boston,MA,USA,2113,13.86,2023-01-04 12:05:40.336992+00
6,37,2018-01-19 00:00:00+00,Berger Straße 10,Frankfurt,,Germany,60316,0.99,2023-01-04 12:05:40.338114+00
7,38,2018-02-01 00:00:00+00,Barbarossastraße 19,Berlin,,Germany,10779,1.98,2023-01-04 12:05:40.339254+00
8,40,2018-02-01 00:00:00+00,"8, Rue Hanovre",Paris,,France,75002,1.98,2023-01-04 12:05:40.340294+00
9,42,2018-02-02 00:00:00+00,"9, Place Louis Barthou",Bordeaux,,France,33000,3.96,2023-01-04 12:05:40.341339+00
10,46,2018-02-03 00:00:00+00,3 Chatham Street,Dublin,Dublin,Ireland,,5.94,2023-01-04 12:05:40.342374+00
11,52,2018-02-06 00:00:00+00,202 Hoxton Street,London,,United Kingdom,N1 5LH,8.91,2023-01-04 12:05:40.343418+00
12,2,2018-02-11 00:00:00+00,Theodor-Heuss-Straße 34,Stuttgart,,Germany,70174,13.86,2023-01-04 12:05:40.34572+00
13,16,2018-02-19 00:00:00+00,1600 Amphitheatre Parkway,Mountain View,CA,USA,94043-1351,0.99,2023-01-04 12:05:40.346879+00
14,17,2018-03-04 00:00:00+00,1 Microsoft Way,Redmond,WA,USA,98052-8300,1.98,2023-01-04 12:05:40.34794+00
15,19,2018-03-04 00:00:00+00,1 Infinite Loop,Cupertino,CA,USA,95014,1.98,2023-01-04 12:05:40.348995+00
16,21,2018-03-05 00:00:00+00,801 W 4th Street,Reno,NV,USA,89503,3.96,2023-01-04 12:05:40.350032+00
17,25,2018-03-06 00:00:00+00,319 N. Frances Street,Madison,WI,USA,53703,5.94,2023-01-04 12:05:40.35144+00
18,31,2018-03-09 00:00:00+00,194A Chain Lake Drive,Halifax,NS,Canada,B3S 1C5,8.91,2023-01-04 12:05:40.352941+00
19,40,2018-03-14 00:00:00+00,"8, Rue Hanovre",Paris,,France,75002,13.86,2023-01-04 12:05:40.354088+00
20,54,2018-03-22 00:00:00+00,110 Raeburn Pl,"Edinburgh ",,United Kingdom,EH4 1HH,0.99,2023-01-04 12:05:40.355149+00
21,55,2018-04-04 00:00:00+00,421 Bourke Street,Sidney,NSW,Australia,2010,1.98,2023-01-04 12:05:40.356183+00
22,57,2018-04-04 00:00:00+00,"Calle Lira, 198",Santiago,,Chile,,1.98,2023-01-04 12:05:40.357208+00
23,59,2018-04-05 00:00:00+00,"3,Raj Bhavan Road",Bangalore,,India,560001,3.96,2023-01-04 12:05:40.358278+00
24,4,2018-04-06 00:00:00+00,Ullevålsveien 14,Oslo,,Norway,0171,5.94,2023-01-04 12:05:40.35934+00
25,10,2018-04-09 00:00:00+00,"Rua Dr. Falcão Filho, 155",São Paulo,SP,Brazil,01007-010,8.91,2023-01-04 12:05:40.36143+00
26,19,2018-04-14 00:00:00+00,1 Infinite Loop,Cupertino,CA,USA,95014,13.86,2023-01-04 12:05:40.362574+00
27,33,2018-04-22 00:00:00+00,5112 48 Street,Yellowknife,NT,Canada,X1A 1N6,0.99,2023-01-04 12:05:40.363631+00
28,34,2018-05-05 00:00:00+00,Rua da Assunção 53,Lisbon,,Portugal,,1.98,2023-01-04 12:05:40.364683+00
29,36,2018-05-05 00:00:00+00,Tauentzienstraße 8,Berlin,,Germany,10789,1.98,2023-01-04 12:05:40.365723+00
30,38,2018-05-06 00:00:00+00,Barbarossastraße 19,Berlin,,Germany,10779,3.96,2023-01-04 12:05:40.367196+00
31,42,2018-05-07 00:00:00+00,"9, Place Louis Barthou",Bordeaux,,France,33000,5.94,2023-01-04 12:05:40.368991+00
32,48,2018-05-10 00:00:00+00,Lijnbaansgracht 120bg,Amsterdam,VV,Netherlands,1016,8.91,2023-01-04 12:05:40.370704+00
33,57,2018-05-15 00:00:00+00,"Calle Lira, 198",Santiago,,Chile,,13.86,2023-01-04 12:05:40.371813+00
34,12,2018-05-23 00:00:00+00,"Praça Pio X, 119",Rio de Janeiro,RJ,Brazil,20040-020,0.99,2023-01-04 12:05:40.372864+00
35,13,2018-06-05 00:00:00+00,Qe 7 Bloco G,Brasília,DF,Brazil,71020-677,1.98,2023-01-04 12:05:40.374161+00
36,15,2018-06-05 00:00:00+00,700 W Pender Street,Vancouver,BC,Canada,V6C 1G8,1.98,2023-01-04 12:05:40.376512+00
37,17,2018-06-06 00:00:00+00,1 Microsoft Way,Redmond,WA,USA,98052-8300,3.96,2023-01-04 12:05:40.378008+00
38,21,2018-06-07 00:00:00+00,801 W 4th Street,Reno,NV,USA,89503,5.94,2023-01-04 12:05:40.379433+00
39,27,2018-06-10 00:00:00+00,1033 N Park Ave,Tucson,AZ,USA,85719,8.91,2023-01-04 12:05:40.380637+00
40,36,2018-06-15 00:00:00+00,Tauentzienstraße 8,Berlin,,Germany,10789,13.86,2023-01-04 12:05:40.381701+00
41,50,2018-06-23 00:00:00+00,C/ San Bernardo 85,Madrid,,Spain,28015,0.99,2023-01-04 12:05:40.382721+00
42,51,2018-07-06 00:00:00+00,Celsiusg. 9,Stockholm,,Sweden,11230,1.98,2023-01-04 12:05:40.383824+00
43,53,2018-07-06 00:00:00+00,113 Lupus St,London,,United Kingdom,SW1V 3EN,1.98,2023-01-04 12:05:40.385198+00
44,55,2018-07-07 00:00:00+00,421 Bourke Street,Sidney,NSW,Australia,2010,3.96,2023-01-04 12:05:40.386622+00
45,59,2018-07-08 00:00:00+00,"3,Raj Bhavan Road",Bangalore,,India,560001,5.94,2023-01-04 12:05:40.387691+00
46,6,2018-07-11 00:00:00+00,Rilská 3174/6,Prague,,Czech Republic,14300,8.91,2023-01-04 12:05:40.38877+00
47,15,2018-07-16 00:00:00+00,700 W Pender Street,Vancouver,BC,Canada,V6C 1G8,13.86,2023-01-04 12:05:40.389821+00
48,29,2018-07-24 00:00:00+00,796 Dundas Street West,Toronto,ON,Canada,M6J 1V1,0.99,2023-01-04 12:05:40.392391+00
49,30,2018-08-06 00:00:00+00,230 Elgin Street,Ottawa,ON,Canada,K2P 1L7,1.98,2023-01-04 12:05:40.393896+00
50,32,2018-08-06 00:00:00+00,696 Osborne Street,Winnipeg,MB,Canada,R3L 2B9,1.98,2023-01-04 12:05:40.394976+00
51,34,2018-08-07 00:00:00+00,Rua da Assunção 53,Lisbon,,Portugal,,3.96,2023-01-04 12:05:40.396011+00
52,38,2018-08-08 00:00:00+00,Barbarossastraße 19,Berlin,,Germany,10779,5.94,2023-01-04 12:05:40.397013+00
53,44,2018-08-11 00:00:00+00,Porthaninkatu 9,Helsinki,,Finland,00530,8.91,2023-01-04 12:05:40.41465+00
54,53,2018-08-16 00:00:00+00,113 Lupus St,London,,United Kingdom,SW1V 3EN,13.86,2023-01-04 12:05:40.417337+00
